"date","clb_pop","wsb_pop","year","day_month","julian","month","day","pwsid"
2011-12-31,11759,11474,2011,"12-31","365",12,31,"TX300001"
2012-12-31,12214,11929,2012,"12-31","366",12,31,"TX300001"
2013-12-31,12564,12279,2013,"12-31","365",12,31,"TX300001"
2014-12-31,13239,12954,2014,"12-31","365",12,31,"TX300001"
2015-12-31,13619,13334,2015,"12-31","365",12,31,"TX300001"
2016-12-31,14392,14267,2016,"12-31","366",12,31,"TX300001"
2017-12-31,14968,15008,2017,"12-31","365",12,31,"TX300001"
2018-12-31,16076,16247,2018,"12-31","365",12,31,"TX300001"
2019-12-31,16930,17289,2019,"12-31","365",12,31,"TX300001"
2020-12-31,18065,18728,2020,"12-31","366",12,31,"TX300001"
2021-12-31,19564,20391,2021,"12-31","365",12,31,"TX300001"
2022-12-31,21062,22282,2022,"12-31","365",12,31,"TX300001"
2023-12-31,22075,23594,2023,"12-31","365",12,31,"TX300001"
2024-12-31,22075,24935,2024,"12-31","366",12,31,"TX300001"
